            identifier             ,       coord                           ,  Mag V
HD 44458                           ,06 21 24.7165403448 -11 46 23.666159604,5.55
HD 43445                           ,06 15 44.8862849424 -13 43 06.290644188,5.001
HD 43544                           ,06 16 07.6914321072 -16 37 04.823463504,5.91
HD 43827                           ,06 17 41.7240354840 -16 48 57.271233024,5.148
HD 43429                           ,06 15 17.7269578392 -18 28 38.066645892,5.984
HD 43955                           ,06 18 13.7284799088 -19 58 01.104891276,5.501
HD 43396                           ,06 15 08.4024258456 -20 16 19.864421076,5.868
HD 44081                           ,06 18 58.9754195280 -20 55 32.195115768,5.8
* zet CMa                          ,06 20 18.7920398 -30 03 48.120242      ,3
* del Col                          ,06 22 06.8249488320 -33 26 11.036211216,3.85
HD 44323                           ,06 19 40.9567510896 -34 23 47.727053376,5.749
HD 44506                           ,06 20 36.2397908688 -34 08 38.916868416,5.521
* kap Col                          ,06 16 33.1351197 -35 08 25.863010      ,4.37
HD 43899                           ,06 17 01.2313930584 -37 44 14.805581244,5.534
HD 43940                           ,06 17 09.5630669904 -37 15 12.789463932,5.872
HD 43847                           ,06 16 35.5880287008 -39 15 51.815227212,5.983
V* WW Aur                          ,06 32 27.1847665440 +32 27 17.632429092,5.829
* 48 Aur                           ,06 28 34.0875086 +30 29 34.914168      ,5.55
* mu. Gem                          ,06 22 57.62686 +22 30 48.8979          ,2.87
* nu. Gem                          ,06 28 57.7861342 +20 12 43.685624      ,4.14
HD 46374                           ,06 33 36.1644321600 +14 09 18.592915464,5.553
V* BL Ori                          ,06 25 28.1742350712 +14 43 19.172149392,6
HD 44497                           ,06 22 36.3924256056 +12 34 12.853157052,6
HD 46089                           ,06 31 48.2987358312 +11 32 39.882359940,5.21
* 13 Mon                           ,06 32 54.2279021568 +07 19 58.690911432,4.5
C 0628+059                         ,06 31 18.0 +05 55 00                   ,5.4
V* T Mon                           ,06 25 12.9996760920 +07 05 08.558582892,5.98
* eps Mon A                        ,06 23 46.0854171912 +04 35 34.376500932,4.398
* eps Mon                          ,06 23 46.2 +04 35 44                   ,4.31
* 12 Mon                           ,06 32 19.2038948568 +04 51 21.593785608,5.83
HD 45415                           ,06 27 20.4505611720 +02 54 29.836279548,5.543
* 77 Ori                           ,06 27 13.7610764376 +00 17 57.279117408,5.186
HD 45067                           ,06 25 16.5462760045 -00 56 45.178443827,5.9
* 78 Ori                           ,06 27 15.5912403408 -00 16 33.605120892,5.538
HD 45320                           ,06 26 39.5898504432 -01 30 26.399108160,5.854
HD 46487                           ,06 33 37.9213970040 -01 13 12.553237092,5.079
* 10 Mon                           ,06 27 57.5686511 -04 45 43.752881      ,5.041
HD 46304                           ,06 32 23.1292581312 -05 52 07.748007780,5.598
* bet Mon                          ,06 28 49.06971 -07 01 59.0101          ,3.74
* bet Mon C                        ,06 28 49.6129675416 -07 02 04.752049668,5.32
* bet Mon B                        ,06 28 49.4226039089 -07 02 03.840805418,5
HD 46229                           ,06 31 50.0642140848 -08 09 29.599145856,5.411
HD 45976                           ,06 30 11.2762714128 -10 04 53.445514224,5.909
HD 44951                           ,06 24 10.3194109992 -11 31 48.315467532,5.207
HD 46184                           ,06 31 23.0456154408 -12 23 31.109679528,5.153
* bet CMa                          ,06 22 41.9853527 -17 57 21.307352      ,1.97
HD 45765                           ,06 28 37.4195858760 -17 27 57.637738440,5.761
* ksi01 CMa                        ,06 31 51.3663578 -23 25 06.318090      ,4.33
HD 45018                           ,06 23 55.9138259808 -25 34 39.473810976,5.6
HD 46189                           ,06 30 46.2847122360 -27 46 10.487891388,5.903
HD 46547                           ,06 32 38.9776409232 -32 01 49.593507780,5.706
* lam CMa                          ,06 28 10.2074721 -32 34 48.245488      ,4.48
HD 45871                           ,06 28 39.24252 -32 22 16.5985          ,5.74
HR 2388                            ,06 31 13.0934459928 -35 15 31.886162784,5.82
HD 45145                           ,06 24 01.0098891672 -36 42 27.947549016,5.619
HD 46568                           ,06 32 21.3775381416 -37 41 48.205327596,5.253
* psi02 Aur                        ,06 39 19.8272357400 +42 29 19.955674680,4.82
* psi03 Aur                        ,06 38 49.1803993848 +39 54 09.214299684,5.331
* 51 Aur                           ,06 38 39.5367886320 +39 23 27.064036212,5.69
V* UU Aur                          ,06 36 32.8371036984 +38 26 43.819021608,5.25
* 49 Aur                           ,06 35 12.0621641448 +28 01 20.318894148,5.26
* 53 Aur                           ,06 38 23.0105318280 +28 59 03.615135864,5.744
* 28 Gem                           ,06 44 45.4597898664 +28 58 15.380333472,5.44
* eps Gem                          ,06 43 55.9262590 +25 07 52.051484      ,2.98
* 26 Gem                           ,06 42 24.3272189 +17 38 43.111835      ,5.21
* gam Gem                          ,06 37 42.71050 +16 23 57.4095          ,1.92
HD 47575                           ,06 39 47.7171668688 +12 58 57.971257680,5.978
* 30 Gem                           ,06 43 59.2871476656 +13 13 40.799645724,4.49 
HD 46709                           ,06 35 17.5965875184 +09 59 18.012591168,5.887
* 15 Mon                           ,06 40 58.65963 +09 53 44.7229          ,4.64
Cl Collinder 106                   ,06 37 06.7 +06 00 07                   ,4.6
HD 48434                           ,06 43 38.6456583720 +03 55 57.109225980,5.9
Cl Collinder 107                   ,06 36 48.7 +04 58 19                   ,5.1
HD 46769                           ,06 35 15.8285310432 +00 53 24.785166300,5.86
HD 47964                           ,06 41 05.4409639536 +00 29 43.160425584,5.765
HD 47054                           ,06 36 35.3296522656 -05 12 40.103033112,5.52
HD 48217                           ,06 41 56.3852602680 -09 10 03.125210916,5.194
HD 47182                           ,06 36 46.5980539440 -13 19 15.676516164,5.939
HD 47667                           ,06 39 16.7194330944 -14 08 44.742752700,4.812
* nu.01 CMa                        ,06 36 22.8522425424 -18 39 35.654346504,5.695
* nu.03 CMa                        ,06 37 53.4213820872 -18 14 14.930466036,4.43
* nu.02 CMa                        ,06 36 41.0375756 -19 15 21.165905      ,3.91
* ksi02 CMa                        ,06 35 03.3875525904 -22 57 53.263500084,4.5
HD 47946                           ,06 39 42.6605300136 -30 28 13.765907820,5.71
HD 46936                           ,06 34 35.3308813248 -32 42 58.510728000,5.61
* 10 CMa                           ,06 44 28.4671043496 -31 04 13.892357820,5.17
HD 47536                           ,06 37 47.6181076691 -32 20 23.040481884,5.258
HD 46815                           ,06 33 49.4800601424 -36 13 55.295070384,5.405
HD 47500                           ,06 37 13.83509 -36 59 26.3440          ,5.717
* nu. Pup                          ,06 37 45.6713527 -43 11 45.360171      ,3.17
* psi07 Aur                        ,06 50 45.9432814968 +41 46 52.429971900,4.975
NGC 2281                           ,06 48 21.8 +41 03 36                   ,5.4
* tet Gem                          ,06 52 47.3388710 +33 57 40.517462      ,3.6
V* IS Gem                          ,06 49 41.3134679544 +32 36 24.334958160,5.708
* 37 Gem                           ,06 55 18.6663587832 +25 22 32.503553004,5.748
* 87 Gem                           ,06 51 59.9861723112 +23 36 06.199162452,5.671
* d Gem                            ,06 51 33.0463828992 +21 45 40.123048212,5.259
* 33 Gem                           ,06 49 49.8362378064 +16 12 10.382708016,5.87
* ksi Gem                          ,06 45 17.3643205 +12 53 44.131127      ,3.36
* 35 Gem                           ,06 50 25.4986536600 +13 24 47.443384116,5.672
* e Gem                            ,06 54 38.6381476771 +13 10 40.243144636,4.715
* 16 Mon                           ,06 46 32.4145190352 +08 35 13.767386136,5.92
HD 50277                           ,06 52 49.4708324568 +08 22 49.429526880,5.742
* 17 Mon                           ,06 47 19.8301708488 +08 02 14.122870224,4.77
* 18 Mon                           ,06 47 51.6478856352 +02 24 43.835011128,4.47
NGC 2301                           ,06 51 46.3 +00 27 54                   ,6
HD 50747                           ,06 54 24.6514829592 -01 07 37.009187292,5.435
HD 49434                           ,06 48 19.0662941232 -01 19 08.124232296,5.731
HD 49643                           ,06 49 16.4057835624 -02 16 19.370394984,5.75
HD 49147                           ,06 46 39.0161015760 -10 06 26.495075592,5.646
HD 49331                           ,06 47 37.2209781792 -08 59 54.609791028,5.062
* tet CMa                          ,06 54 11.3988612864 -12 02 19.061163780,4.08
HD 49048                           ,06 45 59.3941106448 -14 47 46.064471028,5.298
* 11 CMa                           ,06 46 51.0923173488 -14 25 33.511738908,5.272
HD 49980                           ,06 50 21.7684047864 -17 05 04.388363808,5.771
* iot CMa                          ,06 56 08.2241266 -17 03 15.267468      ,4.385
HD 50644                           ,06 53 18.8121844896 -19 01 57.699205248,5.648
M 41                               ,06 45 59.8 -20 42 58                   ,4.5
* pi. CMa                          ,06 55 37.4304387192 -20 08 11.388856308,4.664
* 17 CMa                           ,06 55 02.7380042928 -20 24 17.557832160,5.792
* 15 CMa                           ,06 53 32.9071871 -20 13 27.317715      ,4.83
HD 51283                           ,06 55 46.9280647944 -22 56 29.193346032,5.3
* omi01 CMa                        ,06 54 07.9522701192 -24 11 03.159501504,3.87
Cl Collinder 121                   ,06 56 20.0 -24 43 48                   ,2.6
HD 49131                           ,06 45 31.1887692456 -30 56 56.329692216,5.68
HD 49095                           ,06 45 22.9403936275 -31 47 37.133210127,5.916
* kap CMa                          ,06 49 50.4593263 -32 30 30.522482      ,3.89
V* HZ CMa                          ,06 50 23.3482557912 -31 42 21.808309320,5.747
HD 50235                           ,06 50 52.3516239000 -34 22 02.346072600,4.989
HD 50445                           ,06 51 42.4207334784 -36 13 48.979898580,5.94
* x Pup                            ,06 47 21.3992813088 -37 55 46.910018928,5.26
HD 51000                           ,06 57 00.5218308072 +33 40 51.743172648,5.927
HD 53329                           ,07 06 11.5917643416 +34 28 26.284245888,5.551
HD 53686                           ,07 07 22.3986015264 +34 00 33.439798512,5.93
* ome Gem                          ,07 02 24.7799925192 +24 12 55.606511880,5.181
* zet Gem                          ,07 04 06.5307903 +20 34 13.073871      ,3.79
V* NP Gem                          ,07 02 25.5338725944 +17 45 19.870531524,5.94
HD 52609                           ,07 02 33.2872887024 +16 40 28.002851220,5.848
* 41 Gem                           ,07 00 15.8233724160 +16 04 44.385187008,5.69
HD 52556                           ,07 02 17.4939988560 +15 20 09.635363196,5.75
HD 52976                           ,07 03 51.5987183472 +12 35 39.273137700,5.985
HD 52960                           ,07 03 38.0718821136 +10 57 06.543534168,5.117
HD 51104                           ,06 56 25.8328341816 +09 57 23.665286016,5.897
HD 52913                           ,07 03 17.9142304872 +09 08 18.088217988,5.953
HD 53510                           ,07 05 39.0254714880 +09 11 08.846486736,5.78
HD 51814                           ,06 58 57.0243821928 +03 36 08.480590020,5.947
HD 53208                           ,07 04 05.2473368784 -05 19 26.310525492,5.602
* 19 Mon                           ,07 02 54.7766724 -04 14 21.237679      ,5
HD 52666                           ,07 01 56.3836120368 -05 43 19.427271456,5.192
HD 52312                           ,07 00 23.7565066728 -08 24 24.546626892,5.939
HD 53974                           ,07 06 40.76672 -11 17 38.4396          ,5.39
* gam CMa                          ,07 03 45.4930485 -15 37 59.829971      ,4.12
HD 54309                           ,07 07 22.5873962184 -23 50 26.573827884,5.83
* omi02 CMa                        ,07 03 01.4721150 -23 49 59.852308      ,3.02
HD 52018                           ,06 58 35.8988362752 -25 24 50.953342860,5.583
V* LS CMa                          ,07 01 05.9462635320 -25 12 56.281710060,5.635
HD 51733                           ,06 57 33.9110232 -24 37 50.995377      ,5.46
* eps CMa                          ,06 58 37.54876 -28 58 19.5102          ,1.5
* sig CMa                          ,07 01 43.1477846 -27 56 05.389774      ,3.47
* t Pup                            ,06 58 25.0888739808 -34 06 42.084423864,5.068
* D Pup                            ,07 07 07.0777710552 -40 53 35.770233300,5.783
* C Pup                            ,07 04 02.7940656 -42 20 14.206459      ,5.191
HD 53705                           ,07 03 57.3152216292 -43 36 28.925859669,5.28
* 64 Aur                           ,07 18 02.2145047608 +40 53 00.217160340,5.87
